wrestler_id,wname,highest_rank,dob
11949,Kotodaigo,,1993-01-14
12029,Kaito,,1996-06-19
3877,Tochinishiki,Y1e,1925-02-20
3879,Yoshibayama,Y1w,1920-04-03
3875,Kagamisato,Y2eHD,1923-04-30
3867,Chiyonoyama,Y2wHD,1926-06-02
3904,Wakanohana,Y,1928-03-16
3918,Asashio,Y,1929-11-13
3921,Matsunobori,O2eHD,1924-07-20
3910,Kotogahama,O,1927-10-10
3900,Tokitsuyama,S1w,1925-03-10
3947,Wakahaguro,O,1934-11-25
3883,Shimizugawa,K1e,1925-08-13
3926,Tamanoumi,S,1923-01-02
3944,Wakamaeda,S,1930-11-24
3943,Haguroyama,S,1934-02-23
3913,Kitanonada,S,1923-02-01
3932,Tsurugamine,S,1929-04-26
3956,Iwakaze,S,1934-01-22
3923,Shionishiki,K,1924-09-25
3946,Wakanoumi,K,1931-02-02
3864,Hajimayama,M4e,1922-04-23
3911,Ohikari,K,1927-09-24
3927,Shimanishiki,M5e,1928-09-26
3952,Yoshakayama#,K,1931-02-13
3928,Futatsuryu,M3e,1930-03-03
3843,Wakasegawa,M3w,1920-02-20
3950,Hoshikabuto,M7e,1926-02-20
3912,Shinobuyama,S,1925-03-21
3855,Mitsuneyama,M2e,1922-02-07
3948,Tochihikari,O,1933-08-29
3929,Daitenryu,M2e,1928-10-13
3941,Osegawa,M7e,1927-02-01
3878,Dewanishiki,S,1925-07-15
3958,Fukunoumi,M10w,1930-04-28
3965,Fusanishiki,S,1936-01-03
3903,Narutoumi,M9w,1926-01-01
3964,Koinose,M12e,1930-01-21
3871,Otachi,M11e,1923-10-06
3962,Atagoyama,M3w,1936-01-11
3876,Wakabayama,M6e,1922-11-09
3894,Ouchiyama,M2w,1926-06-19
3966,Oikawa,M10e,1936-01-11
3846,Hirosegawa,M14w,1919-02-28
3889,Kuninobori,M5e,1925-04-18
3936,Naruyama,M1w,1931-11-27
3957,Yasome,M16w,1929-07-01
3951,Maenoyama,M14e,1931-07-02
3934,Dewaminato,M17w,1923-04-14
3949,Yoshinomine,M8e,1931-07-07
3882,Kiryugawa,M6w,1923-12-02
3968,Oginohana,S,1935-11-29
3924,Miyanishiki,M13w,1927-05-30
1058,Wakanoshima,J7w,1984-09-28
8899,Kyokutaisei,M8w,1989-10-18
12026,Hidenoumi,M12w,1989-06-11
7153,Kotoeko,M7w,1991-11-20
3963,Ononishiki,M20e,1922-03-20
3942,Izuminada,M6w,1928-09-30
3920,Hakuryuyama,M21e,1926-03-10
3961,Takanishiki,M16e,1934-02-12
3959,Onoura,J1e,1925-10-21
3895,Kaminishiki,J1w,1925-08-28
3905,Hiodoshi,M21w,1922-08-22
4199,Matsunishiki,J2w,1928-12-20
3969,Tsunenishiki,M1w,1931-05-31
3967,Otayama,J3w,1924-05-03
4190,Takimiyama,J4e,1927-09-29
3931,Azumaumi,J3e,1924-03-14
3935,Fukunosato,M20w,1923-12-03
3893,Kiyoenami,M19w,1923-06-24
4191,Sagahikari,J5w,1934-04-29
3973,Maegashio,M18e,1931-03-12
3907,Masumiyama,J7e,1922-01-17
3930,Dairyu,J4w,1927-02-18
3960,Tachikaze,J8e,1930-08-02
3922,Hiranoto,J6e,1921-12-10
3970,Kanenohana,K,1936-10-11
3972,Amatsunada,M18w,1932-08-02
3945,Hideminato,J10e,1926-05-05
3971,Hanenishiki,M10e,1935-10-17
4179,Otozaki,J11e,1929-04-24
3953,Hirakagawa,J3w,1924-03-31
3902,Yoshiiyama,J11w,1924-03-13
3999,Miyabashira,M11e,1936-01-14
